Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
23,Exit long,2000-06-29,MacdSE,0.28,1,0.21,0.07,33.33,0.16,76.19,-0.02,-9.52,0,0.00
23,Entry long,2000-05-17,MacdLE,0.21,1,0.21,0.07,33.33,0.16,76.19,-0.02,-9.52,0,0.00
24,Exit short,2000-07-17,MacdLE,0.31,1,0.28,-0.03,-10.71,0.06,21.43,-0.04,-14.29,-0.03,0.00
24,Entry short,2000-06-29,MacdSE,0.28,1,0.28,-0.03,-10.71,0.06,21.43,-0.04,-14.29,-0.03,0.00
25,Exit long,2000-07-24,MacdSE,0.29,1,0.31,-0.02,-6.45,0,0.00,-0.04,-12.90,-0.05,0.00
25,Entry long,2000-07-17,MacdLE,0.31,1,0.31,-0.02,-6.45,0,0.00,-0.04,-12.90,-0.05,0.00
26,Exit short,2000-08-08,MacdLE,0.28,1,0.29,0.01,3.45,0.08,27.59,0,0.00,-0.04,0.00
26,Entry short,2000-07-24,MacdSE,0.29,1,0.29,0.01,3.45,0.08,27.59,0,0.00,-0.04,0.00
27,Exit long,2000-09-07,MacdSE,0.31,1,0.28,0.03,10.71,0.06,21.43,-0.02,-7.14,-0.01,0.00
27,Entry long,2000-08-08,MacdLE,0.28,1,0.28,0.03,10.71,0.06,21.43,-0.02,-7.14,-0.01,0.00
28,Exit short,2000-09-27,MacdLE,0.32,1,0.31,-0.01,-3.23,0.05,16.13,-0.02,-6.45,-0.02,0.00
28,Entry short,2000-09-07,MacdSE,0.31,1,0.31,-0.01,-3.23,0.05,16.13,-0.02,-6.45,-0.02,0.00
29,Exit long,2000-10-06,MacdSE,0.3,1,0.32,-0.02,-6.25,0.04,12.50,-0.02,-6.25,-0.04,0.00
29,Entry long,2000-09-27,MacdLE,0.32,1,0.32,-0.02,-6.25,0.04,12.50,-0.02,-6.25,-0.04,0.00
30,Exit short,2000-11-03,MacdLE,0.28,1,0.3,0.02,6.67,0.08,26.67,-0.01,-3.33,-0.02,0.00
30,Entry short,2000-10-06,MacdSE,0.3,1,0.3,0.02,6.67,0.08,26.67,-0.01,-3.33,-0.02,0.00
31,Exit long,2000-11-14,MacdSE,0.26,1,0.28,-0.02,-7.14,0.05,17.86,-0.05,-17.86,-0.04,0.00
31,Entry long,2000-11-03,MacdLE,0.28,1,0.28,-0.02,-7.14,0.05,17.86,-0.05,-17.86,-0.04,0.00
32,Exit short,2000-11-15,MacdLE,0.29,1,0.26,-0.03,-11.54,0,0.00,-0.03,-11.54,-0.07,0.00
32,Entry short,2000-11-14,MacdSE,0.26,1,0.26,-0.03,-11.54,0,0.00,-0.03,-11.54,-0.07,0.00
33,Exit long,2000-11-21,MacdSE,0.25,1,0.29,-0.04,-13.79,0.01,3.45,-0.05,-17.24,-0.11,0.00
33,Entry long,2000-11-15,MacdLE,0.29,1,0.29,-0.04,-13.79,0.01,3.45,-0.05,-17.24,-0.11,0.00
34,Exit short,2000-12-13,MacdLE,0.2,1,0.25,0.05,20.00,0.1,40.00,-0.01,-4.00,-0.06,0.00
34,Entry short,2000-11-21,MacdSE,0.25,1,0.25,0.05,20.00,0.1,40.00,-0.01,-4.00,-0.06,0.00
35,Exit long,2000-12-18,MacdSE,0.16,1,0.2,-0.04,-20.00,0,0.00,-0.04,-20.00,-0.1,0.00
35,Entry long,2000-12-13,MacdLE,0.2,1,0.2,-0.04,-20.00,0,0.00,-0.04,-20.00,-0.1,0.00
36,Exit short,2000-12-29,MacdLE,0.15,1,0.16,0.01,6.25,0.05,31.25,-0.02,-12.50,-0.09,0.00
36,Entry short,2000-12-18,MacdSE,0.16,1,0.16,0.01,6.25,0.05,31.25,-0.02,-12.50,-0.09,0.00
37,Exit long,2001-02-06,MacdSE,0.19,1,0.15,0.04,26.67,0.09,60.00,-0.03,-20.00,-0.05,0.00
37,Entry long,2000-12-29,MacdLE,0.15,1,0.15,0.04,26.67,0.09,60.00,-0.03,-20.00,-0.05,0.00
38,Exit short,2001-02-16,MacdLE,0.22,1,0.19,-0.03,-15.79,0.02,10.53,-0.05,-26.32,-0.08,0.00
38,Entry short,2001-02-06,MacdSE,0.19,1,0.19,-0.03,-15.79,0.02,10.53,-0.05,-26.32,-0.08,0.00
39,Exit long,2001-03-01,MacdSE,0.18,1,0.22,-0.04,-18.18,0.03,13.64,-0.04,-18.18,-0.12,0.00
39,Entry long,2001-02-16,MacdLE,0.22,1,0.22,-0.04,-18.18,0.03,13.64,-0.04,-18.18,-0.12,0.00
40,Exit short,2001-03-14,MacdLE,0.21,1,0.18,-0.03,-16.67,0.01,5.56,-0.05,-27.78,-0.15,0.00
40,Entry short,2001-03-01,MacdSE,0.18,1,0.18,-0.03,-16.67,0.01,5.56,-0.05,-27.78,-0.15,0.00
41,Exit long,2001-04-04,MacdSE,0.26,1,0.21,0.05,23.81,0.09,42.86,0,0.00,-0.1,0.00
41,Entry long,2001-03-14,MacdLE,0.21,1,0.21,0.05,23.81,0.09,42.86,0,0.00,-0.1,0.00
42,Exit short,2001-04-17,MacdLE,0.28,1,0.26,-0.02,-7.69,0.04,15.38,-0.05,-19.23,-0.12,0.00
42,Entry short,2001-04-04,MacdSE,0.26,1,0.26,-0.02,-7.69,0.04,15.38,-0.05,-19.23,-0.12,0.00
43,Exit long,2001-05-10,MacdSE,0.36,1,0.28,0.08,28.57,0.12,42.86,0,0.00,-0.04,0.00
43,Entry long,2001-04-17,MacdLE,0.28,1,0.28,0.08,28.57,0.12,42.86,0,0.00,-0.04,0.00
44,Exit short,2001-05-24,MacdLE,0.38,1,0.36,-0.02,-5.56,0.05,13.89,-0.06,-16.67,-0.06,0.00
44,Entry short,2001-05-10,MacdSE,0.36,1,0.36,-0.02,-5.56,0.05,13.89,-0.06,-16.67,-0.06,0.00
45,Exit long,2001-05-30,MacdSE,0.36,1,0.38,-0.02,-5.26,0.02,5.26,-0.02,-5.26,-0.08,0.00
45,Entry long,2001-05-24,MacdLE,0.38,1,0.38,-0.02,-5.26,0.02,5.26,-0.02,-5.26,-0.08,0.00
46,Exit short,2001-06-08,MacdLE,0.41,1,0.36,-0.05,-13.89,0.01,2.78,-0.06,-16.67,-0.13,0.00
46,Entry short,2001-05-30,MacdSE,0.36,1,0.36,-0.05,-13.89,0.01,2.78,-0.06,-16.67,-0.13,0.00
47,Exit long,2001-06-14,MacdSE,0.39,1,0.41,-0.02,-4.88,0,0.00,-0.03,-7.32,-0.15,0.00
47,Entry long,2001-06-08,MacdLE,0.41,1,0.41,-0.02,-4.88,0,0.00,-0.03,-7.32,-0.15,0.00
48,Exit short,2001-07-30,MacdLE,0.34,1,0.39,0.05,12.82,0.11,28.21,-0.01,-2.56,-0.1,0.00
48,Entry short,2001-06-14,MacdSE,0.39,1,0.39,0.05,12.82,0.11,28.21,-0.01,-2.56,-0.1,0.00
49,Exit long,2001-08-22,MacdSE,0.35,1,0.34,0.01,2.94,0.04,11.76,-0.02,-5.88,-0.09,0.00
49,Entry long,2001-07-30,MacdLE,0.34,1,0.34,0.01,2.94,0.04,11.76,-0.02,-5.88,-0.09,0.00
50,Exit short,2001-08-28,MacdLE,0.37,1,0.35,-0.02,-5.71,0.02,5.71,-0.02,-5.71,-0.11,0.00
50,Entry short,2001-08-22,MacdSE,0.35,1,0.35,-0.02,-5.71,0.02,5.71,-0.02,-5.71,-0.11,0.00
51,Exit long,2001-08-30,MacdSE,0.34,1,0.37,-0.03,-8.11,0,0.00,-0.03,-8.11,-0.14,0.00
51,Entry long,2001-08-28,MacdLE,0.37,1,0.37,-0.03,-8.11,0,0.00,-0.03,-8.11,-0.14,0.00
52,Exit short,2001-10-05,MacdLE,0.27,1,0.34,0.07,20.59,0.15,44.12,-0.02,-5.88,-0.07,0.00
52,Entry short,2001-08-30,MacdSE,0.34,1,0.34,0.07,20.59,0.15,44.12,-0.02,-5.88,-0.07,0.00
53,Exit long,2001-11-20,MacdSE,0.43,1,0.27,0.16,59.26,0.2,74.07,-0.02,-7.41,0.09,0.00
53,Entry long,2001-10-05,MacdLE,0.27,1,0.27,0.16,59.26,0.2,74.07,-0.02,-7.41,0.09,0.00
54,Exit short,2001-12-05,MacdLE,0.49,1,0.43,-0.06,-13.95,0.03,6.98,-0.06,-13.95,0.03,0.00
54,Entry short,2001-11-20,MacdSE,0.43,1,0.43,-0.06,-13.95,0.03,6.98,-0.06,-13.95,0.03,0.00
55,Exit long,2001-12-21,MacdSE,0.53,1,0.49,0.04,8.16,0.08,16.33,0,0.00,0.07,0.00
55,Entry long,2001-12-05,MacdLE,0.49,1,0.49,0.04,8.16,0.08,16.33,0,0.00,0.07,0.00
56,Exit short,2001-12-28,MacdLE,0.58,1,0.53,-0.05,-9.43,0.01,1.89,-0.05,-9.43,0.02,0.00
56,Entry short,2001-12-21,MacdSE,0.53,1,0.53,-0.05,-9.43,0.01,1.89,-0.05,-9.43,0.02,0.00
57,Exit long,2001-12-31,MacdSE,0.57,1,0.58,-0.01,-1.72,0.01,1.72,-0.02,-3.45,0.01,0.00
57,Entry long,2001-12-28,MacdLE,0.58,1,0.58,-0.01,-1.72,0.01,1.72,-0.02,-3.45,0.01,0.00
58,Exit short,2002-03-05,MacdLE,0.48,1,0.57,0.09,15.79,0.16,28.07,-0.04,-7.02,0.1,0.00
58,Entry short,2001-12-31,MacdSE,0.57,1,0.57,0.09,15.79,0.16,28.07,-0.04,-7.02,0.1,0.00
59,Exit long,2002-03-15,MacdSE,0.42,1,0.48,-0.06,-12.50,0.02,4.17,-0.06,-12.50,0.04,0.00
59,Entry long,2002-03-05,MacdLE,0.48,1,0.48,-0.06,-12.50,0.02,4.17,-0.06,-12.50,0.04,0.00
60,Exit short,2002-04-18,MacdLE,0.33,1,0.42,0.09,21.43,0.12,28.57,-0.04,-9.52,0.13,0.00
60,Entry short,2002-03-15,MacdSE,0.42,1,0.42,0.09,21.43,0.12,28.57,-0.04,-9.52,0.13,0.00
61,Exit long,2002-04-25,MacdSE,0.27,1,0.33,-0.06,-18.18,0.01,3.03,-0.06,-18.18,0.07,0.00
61,Entry long,2002-04-18,MacdLE,0.33,1,0.33,-0.06,-18.18,0.01,3.03,-0.06,-18.18,0.07,0.00
62,Exit short,2002-05-01,MacdLE,0.29,1,0.27,-0.02,-7.41,0.02,7.41,-0.04,-14.81,0.05,0.00
62,Entry short,2002-04-25,MacdSE,0.27,1,0.27,-0.02,-7.41,0.02,7.41,-0.04,-14.81,0.05,0.00
63,Exit long,2002-06-03,MacdSE,0.27,1,0.29,-0.02,-6.90,0.05,17.24,-0.03,-10.34,0.03,0.00
63,Entry long,2002-05-01,MacdLE,0.29,1,0.29,-0.02,-6.90,0.05,17.24,-0.03,-10.34,0.03,0.00
64,Exit short,2002-07-10,MacdLE,0.16,1,0.27,0.11,40.74,0.14,51.85,-0.01,-3.70,0.14,0.00
64,Entry short,2002-06-03,MacdSE,0.27,1,0.27,0.11,40.74,0.14,51.85,-0.01,-3.70,0.14,0.00
65,Exit long,2002-08-01,MacdSE,0.09,1,0.16,-0.07,-43.75,0.03,18.75,-0.07,-43.75,0.07,0.00
65,Entry long,2002-07-10,MacdLE,0.16,1,0.16,-0.07,-43.75,0.03,18.75,-0.07,-43.75,0.07,0.00
