Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
107,Entry long,2004-12-06,MacdLE,0.17,1,0.17,0.02,11.76,0.04,23.53,0,0.00,0.27,0.00
108,Exit short,2005-01-31,MacdLE,0.19,1,0.19,0,0.00,0.02,10.53,-0.02,-10.53,0.27,0.00
108,Entry short,2004-12-21,MacdSE,0.19,1,0.19,0,0.00,0.02,10.53,-0.02,-10.53,0.27,0.00
109,Exit long,2005-03-07,MacdSE,0.23,1,0.19,0.04,21.05,0.06,31.58,0,0.00,0.31,0.00
109,Entry long,2005-01-31,MacdLE,0.19,1,0.19,0.04,21.05,0.06,31.58,0,0.00,0.31,0.00
110,Exit short,2005-04-26,MacdLE,0.19,1,0.23,0.04,17.39,0.05,21.74,-0.01,-4.35,0.35,0.00
110,Entry short,2005-03-07,MacdSE,0.23,1,0.23,0.04,17.39,0.05,21.74,-0.01,-4.35,0.35,0.00
111,Exit long,2005-06-09,MacdSE,0.22,1,0.19,0.03,15.79,0.05,26.32,-0.02,-10.53,0.38,0.00
111,Entry long,2005-04-26,MacdLE,0.19,1,0.19,0.03,15.79,0.05,26.32,-0.02,-10.53,0.38,0.00
112,Exit short,2005-07-12,MacdLE,0.24,1,0.22,-0.02,-9.09,0.01,4.55,-0.02,-9.09,0.36,0.00
112,Entry short,2005-06-09,MacdSE,0.22,1,0.22,-0.02,-9.09,0.01,4.55,-0.02,-9.09,0.36,0.00
113,Exit long,2005-07-15,MacdSE,0.23,1,0.24,-0.01,-4.17,0,0.00,-0.01,-4.17,0.35,0.00
113,Entry long,2005-07-12,MacdLE,0.24,1,0.24,-0.01,-4.17,0,0.00,-0.01,-4.17,0.35,0.00
114,Exit short,2005-08-02,MacdLE,0.23,1,0.23,0,0.00,0.02,8.70,0,0.00,0.35,0.00
114,Entry short,2005-07-15,MacdSE,0.23,1,0.23,0,0.00,0.02,8.70,0,0.00,0.35,0.00
115,Exit long,2005-08-25,MacdSE,0.24,1,0.23,0.01,4.35,0.03,13.04,0,0.00,0.36,0.00
115,Entry long,2005-08-02,MacdLE,0.23,1,0.23,0.01,4.35,0.03,13.04,0,0.00,0.36,0.00
116,Exit short,2005-09-01,MacdLE,0.26,1,0.24,-0.02,-8.33,0,0.00,-0.02,-8.33,0.34,0.00
116,Entry short,2005-08-25,MacdSE,0.24,1,0.24,-0.02,-8.33,0,0.00,-0.02,-8.33,0.34,0.00
117,Exit long,2005-09-26,MacdSE,0.27,1,0.26,0.01,3.85,0.02,7.69,-0.01,-3.85,0.35,0.00
117,Entry long,2005-09-01,MacdLE,0.26,1,0.26,0.01,3.85,0.02,7.69,-0.01,-3.85,0.35,0.00
118,Exit short,2005-10-03,MacdLE,0.29,1,0.27,-0.02,-7.41,0,0.00,-0.02,-7.41,0.33,0.00
118,Entry short,2005-09-26,MacdSE,0.27,1,0.27,-0.02,-7.41,0,0.00,-0.02,-7.41,0.33,0.00
119,Exit long,2005-10-06,MacdSE,0.28,1,0.29,-0.01,-3.45,0.01,3.45,-0.01,-3.45,0.32,0.00
119,Entry long,2005-10-03,MacdLE,0.29,1,0.29,-0.01,-3.45,0.01,3.45,-0.01,-3.45,0.32,0.00
120,Exit short,2005-11-01,MacdLE,0.28,1,0.28,0,0.00,0.03,10.71,0,0.00,0.32,0.00
120,Entry short,2005-10-06,MacdSE,0.28,1,0.28,0,0.00,0.03,10.71,0,0.00,0.32,0.00
121,Exit long,2005-12-02,MacdSE,0.31,1,0.28,0.03,10.71,0.04,14.29,-0.01,-3.57,0.35,0.00
121,Entry long,2005-11-01,MacdLE,0.28,1,0.28,0.03,10.71,0.04,14.29,-0.01,-3.57,0.35,0.00
122,Exit short,2005-12-28,MacdLE,0.31,1,0.31,0,0.00,0.01,3.23,-0.01,-3.23,0.35,0.00
122,Entry short,2005-12-02,MacdSE,0.31,1,0.31,0,0.00,0.01,3.23,-0.01,-3.23,0.35,0.00
123,Exit long,2006-01-03,MacdSE,0.31,1,0.31,0,0.00,0.01,3.23,-0.01,-3.23,0.35,0.00
123,Entry long,2005-12-28,MacdLE,0.31,1,0.31,0,0.00,0.01,3.23,-0.01,-3.23,0.35,0.00
124,Exit short,2006-01-04,MacdLE,0.32,1,0.31,-0.01,-3.23,0,0.00,-0.01,-3.23,0.34,0.00
124,Entry short,2006-01-03,MacdSE,0.31,1,0.31,-0.01,-3.23,0,0.00,-0.01,-3.23,0.34,0.00
125,Exit long,2006-02-02,MacdSE,0.38,1,0.32,0.06,18.75,0.07,21.88,0,0.00,0.4,0.00
125,Entry long,2006-01-04,MacdLE,0.32,1,0.32,0.06,18.75,0.07,21.88,0,0.00,0.4,0.00
126,Exit short,2006-02-21,MacdLE,0.39,1,0.38,-0.01,-2.63,0.02,5.26,-0.04,-10.53,0.39,0.00
126,Entry short,2006-02-02,MacdSE,0.38,1,0.38,-0.01,-2.63,0.02,5.26,-0.04,-10.53,0.39,0.00
127,Exit long,2006-02-24,MacdSE,0.38,1,0.39,-0.01,-2.56,0.01,2.56,-0.02,-5.13,0.38,0.00
127,Entry long,2006-02-21,MacdLE,0.39,1,0.39,-0.01,-2.56,0.01,2.56,-0.02,-5.13,0.38,0.00
128,Exit short,2006-03-01,MacdLE,0.39,1,0.38,-0.01,-2.63,0,0.00,-0.02,-5.26,0.37,0.00
128,Entry short,2006-02-24,MacdSE,0.38,1,0.38,-0.01,-2.63,0,0.00,-0.02,-5.26,0.37,0.00
129,Exit long,2006-03-10,MacdSE,0.4,1,0.39,0.01,2.56,0.03,7.69,0,0.00,0.38,0.00
129,Entry long,2006-03-01,MacdLE,0.39,1,0.39,0.01,2.56,0.03,7.69,0,0.00,0.38,0.00
130,Exit short,2006-03-27,MacdLE,0.43,1,0.4,-0.03,-7.50,0.01,2.50,-0.03,-7.50,0.35,0.00
130,Entry short,2006-03-10,MacdSE,0.4,1,0.4,-0.03,-7.50,0.01,2.50,-0.03,-7.50,0.35,0.00
131,Exit long,2006-04-18,MacdSE,0.49,1,0.43,0.06,13.95,0.08,18.60,0,0.00,0.41,0.00
131,Entry long,2006-03-27,MacdLE,0.43,1,0.43,0.06,13.95,0.08,18.60,0,0.00,0.41,0.00
132,Exit short,2006-05-04,MacdLE,0.51,1,0.49,-0.02,-4.08,0.03,6.12,-0.04,-8.16,0.39,0.00
132,Entry short,2006-04-18,MacdSE,0.49,1,0.49,-0.02,-4.08,0.03,6.12,-0.04,-8.16,0.39,0.00
133,Exit long,2006-05-10,MacdSE,0.5,1,0.51,-0.01,-1.96,0.02,3.92,-0.01,-1.96,0.38,0.00
133,Entry long,2006-05-04,MacdLE,0.51,1,0.51,-0.01,-1.96,0.02,3.92,-0.01,-1.96,0.38,0.00
134,Exit short,2006-06-19,MacdLE,0.37,1,0.5,0.13,26.00,0.17,34.00,0,0.00,0.51,0.00
134,Entry short,2006-05-10,MacdSE,0.5,1,0.5,0.13,26.00,0.17,34.00,0,0.00,0.51,0.00
135,Exit long,2006-07-13,MacdSE,0.3,1,0.37,-0.07,-18.92,0,0.00,-0.07,-18.92,0.44,0.00
135,Entry long,2006-06-19,MacdLE,0.37,1,0.37,-0.07,-18.92,0,0.00,-0.07,-18.92,0.44,0.00
136,Exit short,2006-07-20,MacdLE,0.33,1,0.3,-0.03,-10.00,0.01,3.33,-0.03,-10.00,0.41,0.00
136,Entry short,2006-07-13,MacdSE,0.3,1,0.3,-0.03,-10.00,0.01,3.33,-0.03,-10.00,0.41,0.00
137,Exit long,2006-09-07,MacdSE,0.44,1,0.33,0.11,33.33,0.16,48.48,-0.04,-12.12,0.52,0.00
137,Entry long,2006-07-20,MacdLE,0.33,1,0.33,0.11,33.33,0.16,48.48,-0.04,-12.12,0.52,0.00
138,Exit short,2006-09-19,MacdLE,0.51,1,0.44,-0.07,-15.91,0,0.00,-0.07,-15.91,0.45,0.00
138,Entry short,2006-09-07,MacdSE,0.44,1,0.44,-0.07,-15.91,0,0.00,-0.07,-15.91,0.45,0.00
139,Exit long,2006-09-25,MacdSE,0.5,1,0.51,-0.01,-1.96,0.01,1.96,-0.02,-3.92,0.44,0.00
139,Entry long,2006-09-19,MacdLE,0.51,1,0.51,-0.01,-1.96,0.01,1.96,-0.02,-3.92,0.44,0.00
140,Exit short,2006-10-10,MacdLE,0.55,1,0.5,-0.05,-10.00,0.04,8.00,-0.06,-12.00,0.39,0.00
140,Entry short,2006-09-25,MacdSE,0.5,1,0.5,-0.05,-10.00,0.04,8.00,-0.06,-12.00,0.39,0.00
141,Exit long,2006-10-19,MacdSE,0.52,1,0.55,-0.03,-5.45,0.02,3.64,-0.03,-5.45,0.36,0.00
141,Entry long,2006-10-10,MacdLE,0.55,1,0.55,-0.03,-5.45,0.02,3.64,-0.03,-5.45,0.36,0.00
142,Exit short,2006-11-01,MacdLE,0.57,1,0.52,-0.05,-9.62,0,0.00,-0.06,-11.54,0.31,0.00
142,Entry short,2006-10-19,MacdSE,0.52,1,0.52,-0.05,-9.62,0,0.00,-0.06,-11.54,0.31,0.00
143,Exit long,2006-11-02,MacdSE,0.54,1,0.57,-0.03,-5.26,0.01,1.75,-0.04,-7.02,0.28,0.00
143,Entry long,2006-11-01,MacdLE,0.57,1,0.57,-0.03,-5.26,0.01,1.75,-0.04,-7.02,0.28,0.00
144,Exit short,2006-11-09,MacdLE,0.59,1,0.54,-0.05,-9.26,0.01,1.85,-0.05,-9.26,0.23,0.00
144,Entry short,2006-11-02,MacdSE,0.54,1,0.54,-0.05,-9.26,0.01,1.85,-0.05,-9.26,0.23,0.00
145,Exit long,2006-11-28,MacdSE,0.59,1,0.59,0,0.00,0.03,5.08,-0.03,-5.08,0.23,0.00
145,Entry long,2006-11-09,MacdLE,0.59,1,0.59,0,0.00,0.03,5.08,-0.03,-5.08,0.23,0.00
146,Exit short,2006-12-19,MacdLE,0.63,1,0.59,-0.04,-6.78,0.01,1.69,-0.05,-8.47,0.19,0.00
146,Entry short,2006-11-28,MacdSE,0.59,1,0.59,-0.04,-6.78,0.01,1.69,-0.05,-8.47,0.19,0.00
147,Exit long,2006-12-27,MacdSE,0.62,1,0.63,-0.01,-1.59,0.02,3.17,-0.02,-3.17,0.18,0.00
147,Entry long,2006-12-19,MacdLE,0.63,1,0.63,-0.01,-1.59,0.02,3.17,-0.02,-3.17,0.18,0.00
148,Exit short,2007-02-06,MacdLE,0.55,1,0.62,0.07,11.29,0.12,19.35,-0.01,-1.61,0.25,0.00
148,Entry short,2006-12-27,MacdSE,0.62,1,0.62,0.07,11.29,0.12,19.35,-0.01,-1.61,0.25,0.00
149,Exit long,2007-02-28,MacdSE,0.52,1,0.55,-0.03,-5.45,0.03,5.45,-0.03,-5.45,0.22,0.00
149,Entry long,2007-02-06,MacdLE,0.55,1,0.55,-0.03,-5.45,0.03,5.45,-0.03,-5.45,0.22,0.00
150,Exit short,2007-03-23,MacdLE,0.51,1,0.52,0.01,1.92,0.05,9.62,-0.01,-1.92,0.23,0.00
150,Entry short,2007-02-28,MacdSE,0.52,1,0.52,0.01,1.92,0.05,9.62,-0.01,-1.92,0.23,0.00
151,Exit long,2007-05-11,MacdSE,0.58,1,0.51,0.07,13.73,0.07,13.73,-0.04,-7.84,0.3,0.00
151,Entry long,2007-03-23,MacdLE,0.51,1,0.51,0.07,13.73,0.07,13.73,-0.04,-7.84,0.3,0.00
152,Exit short,2007-05-14,MacdLE,0.58,1,0.58,0,0.00,0.01,1.72,-0.01,-1.72,0.3,0.00
152,Entry short,2007-05-11,MacdSE,0.58,1,0.58,0,0.00,0.01,1.72,-0.01,-1.72,0.3,0.00
153,Exit long,2007-05-24,MacdSE,0.58,1,0.58,0,0.00,0.02,3.45,-0.02,-3.45,0.3,0.00
153,Entry long,2007-05-14,MacdLE,0.58,1,0.58,0,0.00,0.02,3.45,-0.02,-3.45,0.3,0.00
154,Exit short,2007-06-06,MacdLE,0.6,1,0.58,-0.02,-3.45,0.03,5.17,-0.02,-3.45,0.28,0.00
154,Entry short,2007-05-24,MacdSE,0.58,1,0.58,-0.02,-3.45,0.03,5.17,-0.02,-3.45,0.28,0.00
155,Exit long,2007-07-20,MacdSE,0.77,1,0.6,0.17,28.33,0.2,33.33,-0.01,-1.67,0.45,0.00
155,Entry long,2007-06-06,MacdLE,0.6,1,0.6,0.17,28.33,0.2,33.33,-0.01,-1.67,0.45,0.00
156,Exit short,2007-08-22,MacdLE,0.81,1,0.77,-0.04,-5.19,0.09,11.69,-0.04,-5.19,0.41,0.00
156,Entry short,2007-07-20,MacdSE,0.77,1,0.77,-0.04,-5.19,0.09,11.69,-0.04,-5.19,0.41,0.00
157,Exit long,2007-09-14,MacdSE,0.82,1,0.81,0.01,1.23,0.09,11.11,-0.04,-4.94,0.42,0.00
157,Entry long,2007-08-22,MacdLE,0.81,1,0.81,0.01,1.23,0.09,11.11,-0.04,-4.94,0.42,0.00
158,Exit short,2007-09-25,MacdLE,0.88,1,0.82,-0.06,-7.32,0.02,2.44,-0.08,-9.76,0.36,0.00
158,Entry short,2007-09-14,MacdSE,0.82,1,0.82,-0.06,-7.32,0.02,2.44,-0.08,-9.76,0.36,0.00
159,Exit long,2007-10-10,MacdSE,0.93,1,0.88,0.05,5.68,0.07,7.95,-0.01,-1.14,0.41,0.00
159,Entry long,2007-09-25,MacdLE,0.88,1,0.88,0.05,5.68,0.07,7.95,-0.01,-1.14,0.41,0.00
160,Exit short,2007-10-18,MacdLE,0.99,1,0.93,-0.06,-6.45,0.06,6.45,-0.06,-6.45,0.35,0.00
160,Entry short,2007-10-10,MacdSE,0.93,1,0.93,-0.06,-6.45,0.06,6.45,-0.06,-6.45,0.35,0.00
161,Exit long,2007-10-26,MacdSE,0.9,1,0.99,-0.09,-9.09,0,0.00,-0.15,-15.15,0.26,0.00
161,Entry long,2007-10-18,MacdLE,0.99,1,0.99,-0.09,-9.09,0,0.00,-0.15,-15.15,0.26,0.00
162,Exit short,2007-11-30,MacdLE,0.86,1,0.9,0.04,4.44,0.17,18.89,-0.06,-6.67,0.3,0.00
162,Entry short,2007-10-26,MacdSE,0.9,1,0.9,0.04,4.44,0.17,18.89,-0.06,-6.67,0.3,0.00
163,Exit long,2008-01-03,MacdSE,0.83,1,0.86,-0.03,-3.49,0.05,5.81,-0.08,-9.30,0.27,0.00
163,Entry long,2007-11-30,MacdLE,0.86,1,0.86,-0.03,-3.49,0.05,5.81,-0.08,-9.30,0.27,0.00
164,Exit short,2008-01-30,MacdLE,0.63,1,0.83,0.2,24.10,0.27,32.53,-0.02,-2.41,0.47,0.00
164,Entry short,2008-01-03,MacdSE,0.83,1,0.83,0.2,24.10,0.27,32.53,-0.02,-2.41,0.47,0.00
165,Exit long,2008-02-20,MacdSE,0.53,1,0.63,-0.1,-15.87,0.06,9.52,-0.1,-15.87,0.37,0.00
165,Entry long,2008-01-30,MacdLE,0.63,1,0.63,-0.1,-15.87,0.06,9.52,-0.1,-15.87,0.37,0.00
166,Exit short,2008-02-28,MacdLE,0.57,1,0.53,-0.04,-7.55,0,0.00,-0.05,-9.43,0.33,0.00
166,Entry short,2008-02-20,MacdSE,0.53,1,0.53,-0.04,-7.55,0,0.00,-0.05,-9.43,0.33,0.00
167,Exit long,2008-03-07,MacdSE,0.49,1,0.57,-0.08,-14.04,0,0.00,-0.08,-14.04,0.25,0.00
167,Entry long,2008-02-28,MacdLE,0.57,1,0.57,-0.08,-14.04,0,0.00,-0.08,-14.04,0.25,0.00
168,Exit short,2008-03-24,MacdLE,0.47,1,0.49,0.02,4.08,0.06,12.24,-0.02,-4.08,0.27,0.00
168,Entry short,2008-03-07,MacdSE,0.49,1,0.49,0.02,4.08,0.06,12.24,-0.02,-4.08,0.27,0.00
169,Exit long,2008-04-16,MacdSE,0.47,1,0.47,0,0.00,0.06,12.77,-0.03,-6.38,0.27,0.00
169,Entry long,2008-03-24,MacdLE,0.47,1,0.47,0,0.00,0.06,12.77,-0.03,-6.38,0.27,0.00
170,Exit short,2008-04-17,MacdLE,0.45,1,0.47,0.02,4.26,0.02,4.26,-0.01,-2.13,0.29,0.00
170,Entry short,2008-04-16,MacdSE,0.47,1,0.47,0.02,4.26,0.02,4.26,-0.01,-2.13,0.29,0.00
171,Exit long,2008-05-30,MacdSE,0.6,1,0.45,0.15,33.33,0.18,40.00,0,0.00,0.44,0.00
171,Entry long,2008-04-17,MacdLE,0.45,1,0.45,0.15,33.33,0.18,40.00,0,0.00,0.44,0.00
172,Exit short,2008-06-02,MacdLE,0.62,1,0.6,-0.02,-3.33,0,0.00,-0.02,-3.33,0.42,0.00
172,Entry short,2008-05-30,MacdSE,0.6,1,0.6,-0.02,-3.33,0,0.00,-0.02,-3.33,0.42,0.00
173,Exit long,2008-06-09,MacdSE,0.6,1,0.62,-0.02,-3.23,0.01,1.61,-0.04,-6.45,0.4,0.00
173,Entry long,2008-06-02,MacdLE,0.62,1,0.62,-0.02,-3.23,0.01,1.61,-0.04,-6.45,0.4,0.00
174,Exit short,2008-07-23,MacdLE,0.29,1,0.6,0.31,51.67,0.33,55.00,-0.01,-1.67,0.71,0.00
174,Entry short,2008-06-09,MacdSE,0.6,1,0.6,0.31,51.67,0.33,55.00,-0.01,-1.67,0.71,0.00
175,Exit long,2008-09-04,MacdSE,0.29,1,0.29,0,0.00,0.06,20.69,-0.03,-10.34,0.71,0.00
175,Entry long,2008-07-23,MacdLE,0.29,1,0.29,0,0.00,0.06,20.69,-0.03,-10.34,0.71,0.00
176,Exit short,2008-09-23,MacdLE,0.28,1,0.29,0.01,3.45,0.07,24.14,-0.01,-3.45,0.72,0.00
176,Entry short,2008-09-04,MacdSE,0.29,1,0.29,0.01,3.45,0.07,24.14,-0.01,-3.45,0.72,0.00
177,Exit long,2008-10-03,MacdSE,0.24,1,0.28,-0.04,-14.29,0.01,3.57,-0.05,-17.86,0.68,0.00
177,Entry long,2008-09-23,MacdLE,0.28,1,0.28,-0.04,-14.29,0.01,3.57,-0.05,-17.86,0.68,0.00
178,Exit short,2008-10-21,MacdLE,0.19,1,0.24,0.05,20.83,0.08,33.33,0,0.00,0.73,0.00
178,Entry short,2008-10-03,MacdSE,0.24,1,0.24,0.05,20.83,0.08,33.33,0,0.00,0.73,0.00
179,Exit long,2008-10-24,MacdSE,0.15,1,0.19,-0.04,-21.05,0,0.00,-0.04,-21.05,0.69,0.00
179,Entry long,2008-10-21,MacdLE,0.19,1,0.19,-0.04,-21.05,0,0.00,-0.04,-21.05,0.69,0.00
180,Exit short,2008-10-28,MacdLE,0.18,1,0.15,-0.03,-20.00,0,0.00,-0.03,-20.00,0.66,0.00
180,Entry short,2008-10-24,MacdSE,0.15,1,0.15,-0.03,-20.00,0,0.00,-0.03,-20.00,0.66,0.00
181,Exit long,2008-11-18,MacdSE,0.18,1,0.18,0,0.00,0.05,27.78,-0.01,-5.56,0.66,0.00
181,Entry long,2008-10-28,MacdLE,0.18,1,0.18,0,0.00,0.05,27.78,-0.01,-5.56,0.66,0.00
182,Exit short,2008-11-28,MacdLE,0.19,1,0.18,-0.01,-5.56,0.04,22.22,-0.01,-5.56,0.65,0.00
182,Entry short,2008-11-18,MacdSE,0.18,1,0.18,-0.01,-5.56,0.04,22.22,-0.01,-5.56,0.65,0.00
183,Exit long,2008-12-26,MacdSE,0.19,1,0.19,0,0.00,0.05,26.32,-0.02,-10.53,0.65,0.00
183,Entry long,2008-11-28,MacdLE,0.19,1,0.19,0,0.00,0.05,26.32,-0.02,-10.53,0.65,0.00
184,Exit short,2009-01-05,MacdLE,0.22,1,0.19,-0.03,-15.79,0.01,5.26,-0.03,-15.79,0.62,0.00
184,Entry short,2008-12-26,MacdSE,0.19,1,0.19,-0.03,-15.79,0.01,5.26,-0.03,-15.79,0.62,0.00
185,Exit long,2009-01-12,MacdSE,0.2,1,0.22,-0.02,-9.09,0.02,9.09,-0.02,-9.09,0.6,0.00
185,Entry long,2009-01-05,MacdLE,0.22,1,0.22,-0.02,-9.09,0.02,9.09,-0.02,-9.09,0.6,0.00
186,Exit short,2009-01-28,MacdLE,0.22,1,0.2,-0.02,-10.00,0.02,10.00,-0.02,-10.00,0.58,0.00
186,Entry short,2009-01-12,MacdSE,0.2,1,0.2,-0.02,-10.00,0.02,10.00,-0.02,-10.00,0.58,0.00
187,Exit long,2009-02-17,MacdSE,0.2,1,0.22,-0.02,-9.09,0.03,13.64,-0.03,-13.64,0.56,0.00
187,Entry long,2009-01-28,MacdLE,0.22,1,0.22,-0.02,-9.09,0.03,13.64,-0.03,-13.64,0.56,0.00
188,Exit short,2009-03-06,MacdLE,0.21,1,0.2,-0.01,-5.00,0.02,10.00,-0.02,-10.00,0.55,0.00
188,Entry short,2009-02-17,MacdSE,0.2,1,0.2,-0.01,-5.00,0.02,10.00,-0.02,-10.00,0.55,0.00
189,Exit long,2009-04-01,MacdSE,0.24,1,0.21,0.03,14.29,0.09,42.86,-0.01,-4.76,0.58,0.00
189,Entry long,2009-03-06,MacdLE,0.21,1,0.21,0.03,14.29,0.09,42.86,-0.01,-4.76,0.58,0.00
190,Exit short,2009-04-03,MacdLE,0.26,1,0.24,-0.02,-8.33,0.01,4.17,-0.03,-12.50,0.56,0.00
190,Entry short,2009-04-01,MacdSE,0.24,1,0.24,-0.02,-8.33,0.01,4.17,-0.03,-12.50,0.56,0.00
191,Exit long,2009-04-21,MacdSE,0.27,1,0.26,0.01,3.85,0.04,15.38,0,0.00,0.57,0.00
191,Entry long,2009-04-03,MacdLE,0.26,1,0.26,0.01,3.85,0.04,15.38,0,0.00,0.57,0.00
192,Exit short,2009-05-27,MacdLE,0.26,1,0.27,0.01,3.70,0.06,22.22,-0.04,-14.81,0.58,0.00
192,Entry short,2009-04-21,MacdSE,0.27,1,0.27,0.01,3.70,0.06,22.22,-0.04,-14.81,0.58,0.00
193,Exit long,2009-06-23,MacdSE,0.27,1,0.26,0.01,3.85,0.05,19.23,-0.01,-3.85,0.59,0.00
193,Entry long,2009-05-27,MacdLE,0.26,1,0.26,0.01,3.85,0.05,19.23,-0.01,-3.85,0.59,0.00
194,Exit short,2009-06-29,MacdLE,0.29,1,0.27,-0.02,-7.41,0.02,7.41,-0.02,-7.41,0.57,0.00
194,Entry short,2009-06-23,MacdSE,0.27,1,0.27,-0.02,-7.41,0.02,7.41,-0.02,-7.41,0.57,0.00
195,Exit long,2009-07-06,MacdSE,0.27,1,0.29,-0.02,-6.90,0,0.00,-0.02,-6.90,0.55,0.00
195,Entry long,2009-06-29,MacdLE,0.29,1,0.29,-0.02,-6.90,0,0.00,-0.02,-6.90,0.55,0.00
196,Exit short,2009-07-17,MacdLE,0.29,1,0.27,-0.02,-7.41,0.03,11.11,-0.02,-7.41,0.53,0.00
196,Entry short,2009-07-06,MacdSE,0.27,1,0.27,-0.02,-7.41,0.03,11.11,-0.02,-7.41,0.53,0.00
197,Exit long,2009-08-12,MacdSE,0.32,1,0.29,0.03,10.34,0.07,24.14,0,0.00,0.56,0.00
197,Entry long,2009-07-17,MacdLE,0.29,1,0.29,0.03,10.34,0.07,24.14,0,0.00,0.56,0.00
198,Exit short,2009-08-31,MacdLE,0.36,1,0.32,-0.04,-12.50,0,0.00,-0.06,-18.75,0.52,0.00
198,Entry short,2009-08-12,MacdSE,0.32,1,0.32,-0.04,-12.50,0,0.00,-0.06,-18.75,0.52,0.00
199,Exit long,2009-09-21,MacdSE,0.38,1,0.36,0.02,5.56,0.05,13.89,-0.01,-2.78,0.54,0.00
199,Entry long,2009-08-31,MacdLE,0.36,1,0.36,0.02,5.56,0.05,13.89,-0.01,-2.78,0.54,0.00
200,Exit short,2009-11-09,MacdLE,0.33,1,0.38,0.05,13.16,0.09,23.68,-0.01,-2.63,0.59,0.00
200,Entry short,2009-09-21,MacdSE,0.38,1,0.38,0.05,13.16,0.09,23.68,-0.01,-2.63,0.59,0.00
201,Exit long,2010-01-11,MacdSE,0.47,1,0.33,0.14,42.42,0.14,42.42,-0.02,-6.06,0.73,0.00
201,Entry long,2009-11-09,MacdLE,0.33,1,0.33,0.14,42.42,0.14,42.42,-0.02,-6.06,0.73,0.00
202,Exit short,2010-02-16,MacdLE,0.44,1,0.47,0.03,6.38,0.09,19.15,0,0.00,0.76,0.00
202,Entry short,2010-01-11,MacdSE,0.47,1,0.47,0.03,6.38,0.09,19.15,0,0.00,0.76,0.00
203,Exit long,2010-02-24,MacdSE,0.41,1,0.44,-0.03,-6.82,0.01,2.27,-0.04,-9.09,0.73,0.00
203,Entry long,2010-02-16,MacdLE,0.44,1,0.44,-0.03,-6.82,0.01,2.27,-0.04,-9.09,0.73,0.00
204,Exit short,2010-03-03,MacdLE,0.42,1,0.41,-0.01,-2.44,0.02,4.88,-0.02,-4.88,0.72,0.00
204,Entry short,2010-02-24,MacdSE,0.41,1,0.41,-0.01,-2.44,0.02,4.88,-0.02,-4.88,0.72,0.00
205,Exit long,2010-03-26,MacdSE,0.44,1,0.42,0.02,4.76,0.04,9.52,-0.01,-2.38,0.74,0.00
205,Entry long,2010-03-03,MacdLE,0.42,1,0.42,0.02,4.76,0.04,9.52,-0.01,-2.38,0.74,0.00
206,Exit short,2010-04-15,MacdLE,0.45,1,0.44,-0.01,-2.27,0.02,4.55,-0.01,-2.27,0.73,0.00
206,Entry short,2010-03-26,MacdSE,0.44,1,0.44,-0.01,-2.27,0.02,4.55,-0.01,-2.27,0.73,0.00
207,Exit long,2010-04-20,MacdSE,0.43,1,0.45,-0.02,-4.44,0,0.00,-0.04,-8.89,0.71,0.00
207,Entry long,2010-04-15,MacdLE,0.45,1,0.45,-0.02,-4.44,0,0.00,-0.04,-8.89,0.71,0.00
208,Exit short,2010-05-28,MacdLE,0.34,1,0.43,0.09,20.93,0.13,30.23,0,0.00,0.8,0.00
208,Entry short,2010-04-20,MacdSE,0.43,1,0.43,0.09,20.93,0.13,30.23,0,0.00,0.8,0.00
209,Exit long,2010-06-09,MacdSE,0.28,1,0.34,-0.06,-17.65,0,0.00,-0.07,-20.59,0.74,0.00
209,Entry long,2010-05-28,MacdLE,0.34,1,0.34,-0.06,-17.65,0,0.00,-0.07,-20.59,0.74,0.00
210,Exit short,2010-06-15,MacdLE,0.29,1,0.28,-0.01,-3.57,0.01,3.57,-0.01,-3.57,0.73,0.00
210,Entry short,2010-06-09,MacdSE,0.28,1,0.28,-0.01,-3.57,0.01,3.57,-0.01,-3.57,0.73,0.00
211,Exit long,2010-07-01,MacdSE,0.26,1,0.29,-0.03,-10.34,0.02,6.90,-0.03,-10.34,0.7,0.00
211,Entry long,2010-06-15,MacdLE,0.29,1,0.29,-0.03,-10.34,0.02,6.90,-0.03,-10.34,0.7,0.00
212,Exit short,2010-07-12,MacdLE,0.26,1,0.26,0,0.00,0.01,3.85,-0.01,-3.85,0.7,0.00
212,Entry short,2010-07-01,MacdSE,0.26,1,0.26,0,0.00,0.01,3.85,-0.01,-3.85,0.7,0.00
213,Exit long,2010-07-30,MacdSE,0.23,1,0.26,-0.03,-11.54,0.03,11.54,-0.03,-11.54,0.67,0.00
213,Entry long,2010-07-12,MacdLE,0.26,1,0.26,-0.03,-11.54,0.03,11.54,-0.03,-11.54,0.67,0.00
214,Exit short,2010-08-10,MacdLE,0.24,1,0.23,-0.01,-4.35,0.01,4.35,-0.01,-4.35,0.66,0.00
214,Entry short,2010-07-30,MacdSE,0.23,1,0.23,-0.01,-4.35,0.01,4.35,-0.01,-4.35,0.66,0.00
215,Exit long,2010-08-12,MacdSE,0.22,1,0.24,-0.02,-8.33,0,0.00,-0.02,-8.33,0.64,0.00
215,Entry long,2010-08-10,MacdLE,0.24,1,0.24,-0.02,-8.33,0,0.00,-0.02,-8.33,0.64,0.00
